last_name, first_name,player_id,year,player_age,p_game,p_formatted_ip,p_strikeout,p_run,p_blown_save,p_win,p_loss,p_shutout,p_quality_start,p_complete_game,
Bauer, Trevor,545333,2021,30,17,107.2,137,36,0,8,5,0,14,1,
Kim, Kwang Hyun,547942,2021,33,27,106.2,80,46,0,7,7,0,5,0,
Ryu, Hyun Jin,547943,2021,34,31,169.0,143,85,0,14,10,1,13,1,
Stripling, Ross,548389,2021,32,24,101.1,94,55,0,5,7,0,3,0,
Kittredge, Andrew,552640,2021,31,57,71.2,77,21,1,9,3,0,0,0,
Wheeler, Zack,554430,2021,31,32,213.1,247,72,0,14,10,2,20,3,
Matzek, Tyler,554431,2021,31,69,63.0,77,19,1,0,4,0,0,0,
Urena, Jose,570632,2021,30,26,100.2,67,70,0,4,8,0,4,0,
Robles, Hansel,570663,2021,31,72,69.0,76,39,2,3,5,0,0,0,
Cessa, Luis,570666,2021,29,53,64.2,54,24,0,5,2,0,0,0,
Boyd, Matthew,571510,2021,30,15,78.2,67,37,0,3,8,0,6,0,
Corbin, Patrick,571578,2021,32,31,171.2,143,114,0,9,16,0,13,0,
Floro, Dylan,571670,2021,31,68,64.0,62,25,6,6,6,0,0,0,
Heaney, Andrew,571760,2021,30,30,129.2,150,85,1,8,9,0,8,0,
Matz, Steven,571927,2021,30,29,150.2,144,70,0,14,7,0,9,0,
Richards, Garrett,572070,2021,33,40,136.2,115,86,0,7,8,0,4,0,
Keuchel, Dallas,572971,2021,33,32,162.0,95,105,0,9,9,0,9,0,
Stroman, Marcus,573186,2021,30,33,179.0,158,70,0,10,13,0,16,0,
Thielbar, Caleb,573204,2021,34,59,64.0,77,24,0,7,0,0,0,0,
Kikuchi, Yusei,579328,2021,30,29,157.0,163,82,0,7,9,0,14,0,
Foltynewicz, Mike,592314,2021,30,28,139.0,97,86,0,2,12,0,11,0,
Gausman, Kevin,592332,2021,30,33,192.0,227,66,0,14,6,0,20,0,
Gonzalez, Chi Chi,592346,2021,29,24,101.2,56,74,0,3,7,0,3,0,
Gray, Jon,592351,2021,30,29,149.0,157,83,0,8,12,0,11,0,
Jackson, Luke,592426,2021,30,71,63.2,70,15,4,2,2,0,0,0,
Plutko, Adam,592644,2021,30,38,56.1,44,43,3,1,2,0,0,0,
Ray, Robbie,592662,2021,30,32,193.1,248,62,0,13,7,0,23,0,
Smith, Caleb,592761,2021,30,45,113.2,124,64,2,4,9,0,3,0,
Smyly, Drew,592767,2021,32,29,126.2,117,69,0,11,4,0,6,0,
Stanek, Ryne,592773,2021,30,72,68.1,83,32,2,3,5,0,0,0,
Taillon, Jameson,592791,2021,30,29,144.1,140,73,0,8,6,0,8,0,
Velasquez, Vince,592826,2021,29,25,94.1,101,68,0,3,9,0,3,0,
Walker, Taijuan,592836,2021,29,30,159.0,146,84,0,7,11,0,10,0,
Williams, Trevor,592866,2021,29,23,91.0,90,51,0,4,2,0,3,0,
Rodriguez, Richard,593144,2021,31,64,64.1,42,21,3,5,4,0,0,0,
German, Domingo,593334,2021,29,22,98.1,98,52,0,4,5,0,6,0,
Martinez, Carlos,593372,2021,30,16,82.1,57,58,0,4,9,0,7,0,
Montas, Frankie,593423,2021,28,32,187.0,207,79,0,13,9,0,20,0,
Neris, Hector,593576,2021,32,74,74.1,98,34,7,4,7,0,0,0,
Rodriguez, Eduardo,593958,2021,28,32,157.2,185,87,0,13,8,0,9,0,
Mayers, Mike,594577,2021,30,72,75.0,90,32,3,5,5,0,0,0,
deGrom, Jacob,594798,2021,33,15,92.0,146,14,0,7,2,1,11,1,
Gonzales, Marco,594835,2021,29,25,143.1,108,64,0,10,6,0,13,1,
Treinen, Blake,595014,2021,33,72,72.1,85,20,4,6,5,0,0,0,
Weaver, Luke,596133,2021,28,13,65.2,62,34,0,3,6,0,4,0,
Gomber, Austin,596295,2021,28,23,115.1,113,64,0,9,9,0,11,0,
Pivetta, Nick,601713,2021,28,31,155.0,175,80,0,9,8,0,8,0,
Barlow, Scott,605130,2021,29,71,74.1,91,20,6,5,3,0,0,0,
Bassitt, Chris,605135,2021,32,27,157.1,159,55,0,12,4,1,16,1,
Bundy, Dylan,605164,2021,29,23,90.2,84,64,0,2,9,0,6,0,
Chafin, Andrew,605177,2021,31,71,68.2,64,14,3,2,4,0,0,0,
Davies, Zach,605200,2021,28,32,148.0,114,99,0,6,12,0,5,0,
Fulmer, Michael,605242,2021,28,52,69.2,73,27,4,5,6,0,0,0,
Holmes, Clay,605280,2021,28,69,70.0,78,32,2,8,4,0,0,0,
Houser, Adrian,605288,2021,28,28,142.1,105,61,0,10,6,1,7,1,
Lopez, Jorge,605347,2021,28,33,121.2,112,83,1,3,14,0,5,0,
Musgrove, Joe,605397,2021,29,32,181.1,203,68,0,11,9,2,15,2,
Nola, Aaron,605400,2021,28,32,180.2,223,95,0,9,9,1,11,1,
Romano, Jordan,605447,2021,28,62,63.0,85,17,1,7,1,0,0,0,
Ross, Joe,605452,2021,28,20,108.0,109,57,0,5,9,0,8,0,
Snell, Blake,605483,2021,29,27,128.2,170,61,0,7,6,0,7,0,
Thompson, Zach,605507,2021,28,26,75.0,66,35,0,3,7,0,3,0,
Woodruff, Brandon,605540,2021,28,30,179.1,211,54,0,9,10,0,20,0,
Gallegos, Giovanny,606149,2021,30,73,80.1,95,28,8,6,5,0,0,0,
Garcia, Jarlin,606424,2021,28,58,68.2,68,26,2,6,3,0,0,0,
Rodon, Carlos,607074,2021,29,24,132.2,185,39,0,13,5,1,9,1,
Glasnow, Tyler,607192,2021,28,14,88.0,123,26,0,5,2,0,9,0,
Fedde, Erick,607200,2021,28,29,133.1,128,90,1,7,9,0,6,0,
Gant, John,607231,2021,29,39,110.0,92,56,0,5,11,0,2,0,
Freeland, Kyle,607536,2021,28,23,120.2,105,59,0,7,8,0,11,0,
Means, John,607644,2021,28,26,146.2,134,64,0,6,9,1,12,1,
Estevez, Carlos,608032,2021,29,64,61.2,60,32,6,3,5,0,0,0,
Fried, Max,608331,2021,27,28,165.2,158,61,0,14,7,2,19,2,
Funkhouser, Kyle,608335,2021,27,57,68.1,63,32,4,7,4,0,0,0,
Giolito, Lucas,608337,2021,27,31,178.2,201,74,0,11,9,0,15,1,
Irvin, Cole,608344,2021,27,32,178.1,125,94,0,10,15,0,15,0,
Wacha, Michael,608379,2021,30,29,124.2,121,73,0,3,5,0,3,0,
Marquez, German,608566,2021,26,32,180.0,176,92,0,12,11,1,17,3,
Duffey, Tyler,608648,2021,31,64,62.1,61,25,2,3,3,0,0,0,
Steckenrider, Drew,608716,2021,30,62,67.2,58,16,3,5,2,0,0,0,
Stratton, Chris,608717,2021,31,68,79.1,86,34,5,7,1,0,0,0,
Suter, Brent,608718,2021,32,61,73.1,69,34,8,12,5,0,0,0,
Castro, Miguel,612434,2021,27,69,70.1,77,30,2,3,4,0,0,0,
Ruiz, Jose,614179,2021,27,59,65.0,63,26,1,1,3,0,0,0,
Quantrill, Cal,615698,2021,26,40,149.2,121,55,0,8,3,0,12,0,
Reyes, Alex,621052,2021,27,69,72.1,95,32,5,10,8,0,0,0,
Kaprielian, James,621076,2021,27,24,119.1,123,55,0,8,5,0,8,0,
Eflin, Zach,621107,2021,27,18,105.2,99,52,0,4,7,0,11,0,
Buehler, Walker,621111,2021,27,33,207.2,212,61,0,16,4,0,27,0,
McCullers Jr., Lance,621121,2021,28,28,162.1,185,59,0,13,5,0,15,0,
Mills, Alec,621219,2021,30,32,119.0,87,75,0,6,7,0,4,0,
Alvarado, Jose,621237,2021,26,64,55.2,68,30,3,7,1,0,0,0,
Diaz, Edwin,621242,2021,27,63,62.2,89,27,6,5,6,0,0,0,
Berrios, Jose,621244,2021,27,32,192.0,204,83,0,12,9,0,17,1,
Underwood Jr., Duane,621249,2021,27,43,72.2,65,40,0,2,3,0,0,0,
Wittgren, Nick,621295,2021,30,60,62.1,61,38,0,2,9,0,0,0,
Hearn, Taylor,621368,2021,27,42,104.1,92,58,1,6,6,0,3,0,
Wood, Alex,622072,2021,30,26,138.2,152,63,0,10,4,0,9,0,
Sborz, Josh,622250,2021,28,63,59.0,69,29,3,4,3,0,0,0,
Staumont, Josh,622251,2021,28,64,65.2,72,24,0,4,3,0,0,0,
Tate, Dillon,622253,2021,27,62,67.2,49,35,2,0,6,0,0,0,
Castillo, Luis,622491,2021,29,33,187.2,192,94,0,8,16,0,18,0,
Crismatt, Nabil,622503,2021,27,45,81.1,71,40,1,3,1,0,0,0,
Senzatela, Antonio,622608,2021,26,28,156.2,105,84,0,4,10,0,15,0,
Sewald, Paul,623149,2021,31,62,64.2,104,24,5,10,3,0,0,0,
Flexen, Chris,623167,2021,27,31,179.2,125,74,0,14,6,0,15,0,
Suarez, Ranger,624133,2021,26,39,106.0,107,20,3,8,5,1,6,1,
Maeda, Kenta,628317,2021,33,21,106.1,113,60,0,6,5,0,5,0,
Iglesias, Raisel,628452,2021,31,65,70.0,103,25,5,7,5,0,0,0,
Urias, Julio,628711,2021,25,32,185.2,195,67,0,20,3,0,13,0,
Crowe, Wil,640444,2021,27,26,116.2,111,75,0,4,8,0,3,0,
Finnegan, Kyle,640448,2021,30,68,66.0,68,39,4,5,9,0,0,0,
Manaea, Sean,640455,2021,29,32,179.1,194,79,0,11,10,2,15,2,
Alzolay, Adbert,640470,2021,26,29,125.2,128,66,0,5,13,0,6,0,
Lopez, Pablo,641154,2021,25,20,102.2,115,37,0,5,5,0,10,0,
Alexander, Tyler,641302,2021,27,41,106.1,87,47,0,2,4,0,3,0,
Brentz, Jake,641394,2021,27,72,64.0,76,32,5,5,2,0,0,0,
Cortes Jr., Nestor,641482,2021,27,22,93.0,103,32,0,2,3,0,4,0,
Dunning, Dane,641540,2021,27,27,117.2,114,61,0,5,10,0,3,0,
Keller, Brad,641745,2021,26,26,133.2,120,89,0,8,12,0,9,0,
Kinley, Tyler,641755,2021,30,70,70.1,68,37,4,3,2,0,0,0,
Kuhl, Chad,641771,2021,29,28,80.1,75,50,2,5,7,0,4,0,
Lauer, Eric,641778,2021,26,24,118.2,117,46,0,7,5,0,8,0,
Littell, Zack,641793,2021,26,63,61.2,63,24,4,4,0,0,0,0,
