last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,b_total_bases,r_total_stolen_base,r_run,woba,
Ohtani, Shohei,660271,2021,27,537,639,138,58,26,8,46,189,96,29.6,15.0,.257,.592,.372,.965,100,187,318,26,103,.393,
Riley, Austin,663586,2021,24,590,662,179,112,33,1,33,168,52,25.4,7.9,.303,.531,.367,.898,107,254,313,0,91,.379,
Mountcastle, Ryan,663624,2021,24,534,586,136,79,23,1,33,161,41,27.5,7.0,.255,.487,.309,.796,89,221,260,4,77,.335,
Tucker, Kyle,663656,2021,24,506,567,149,79,37,3,30,90,53,15.9,9.3,.294,.557,.358,.915,92,235,282,14,83,.383,
India, Jonathan,663697,2021,25,532,631,143,86,34,2,21,141,71,22.3,11.3,.269,.459,.376,.834,69,176,244,12,98,.363,
Grisham, Trent,663757,2021,25,462,527,112,66,28,3,15,119,54,22.6,10.2,.242,.413,.326,.740,62,172,191,13,61,.320,
Lowe, Nathaniel,663993,2021,26,557,642,147,102,24,3,18,162,80,25.2,12.5,.264,.415,.357,.771,72,219,231,8,75,.337,
Happ, Ian,664023,2021,27,465,535,105,59,20,1,25,156,62,29.2,11.6,.226,.434,.321,.756,66,181,202,9,63,.328,
France, Ty,664034,2021,27,571,650,166,115,32,1,18,106,46,16.3,7.1,.291,.445,.368,.813,73,232,254,0,85,.353,
Lowe, Brandon,664040,2021,27,535,615,132,62,31,0,39,167,68,27.2,11.1,.247,.523,.340,.863,99,199,280,7,97,.363,
Fletcher, David,664058,2021,27,626,665,164,132,27,3,2,60,31,9.0,4.7,.262,.324,.295,.619,47,209,203,15,74,.273,
Straw, Myles,664702,2021,27,564,638,153,119,29,1,4,121,67,19.0,10.5,.271,.348,.348,.695,48,232,196,30,86,.311,
Walsh, Jared,665120,2021,28,530,585,147,83,34,1,29,152,48,26.0,8.2,.277,.509,.340,.850,98,204,270,2,70,.357,
Tatis Jr., Fernando,665487,2021,22,478,546,135,62,31,0,42,153,62,28.0,11.4,.282,.611,.364,.975,97,151,292,25,99,.403,
Guerrero Jr., Vladimir,665489,2021,22,604,698,188,110,29,1,48,110,86,15.8,12.3,.311,.601,.401,1.002,111,235,363,4,123,.419,
Soto, Juan,665742,2021,23,502,654,157,106,20,2,29,93,145,14.2,22.2,.313,.534,.465,.999,95,197,268,9,111,.420,
Chisholm Jr., Jazz,665862,2021,23,464,507,115,73,20,4,18,145,34,28.6,6.7,.248,.425,.302,.726,53,138,197,23,70,.312,
Bichette, Bo,666182,2021,23,640,690,191,131,30,1,29,137,40,19.9,5.8,.298,.484,.343,.828,102,218,310,25,121,.354,
