last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,woba,
Gurriel, Yuli,493329,2021,37,530,605,169,123,31,0,15,68,59,11.2,9.8,.319,.462,.383,.846,.363,
Rojas, Miguel,500743,2021,32,495,539,131,89,30,3,9,74,37,13.7,6.9,.265,.392,.321,.713,.311,
Escobar, Eduardo,500871,2021,32,549,599,139,80,26,5,28,124,48,20.7,8.0,.253,.472,.314,.786,.334,
Adrianza, Ehire,501303,2021,32,182,209,45,29,9,2,5,42,21,20.1,10.0,.247,.401,.325,.726,.316,
Lagares, Juan,501571,2021,32,309,327,73,45,20,2,6,76,12,23.2,3.7,.236,.372,.263,.635,.274,
Almonte, Abraham,501659,2021,32,148,175,32,15,12,0,5,38,26,21.7,14.9,.216,.399,.331,.730,.321,
Davis, Khris,501981,2021,34,102,114,21,12,5,1,3,31,10,27.2,8.8,.206,.363,.272,.635,.274,
Pham, Tommy,502054,2021,33,475,561,109,68,24,2,15,128,78,22.8,13.9,.229,.383,.340,.724,.318,
Martinez, J.D.,502110,2021,34,570,634,163,90,42,3,28,150,55,23.7,8.7,.286,.518,.349,.866,.364,
Reddick, Josh,502210,2021,34,151,158,39,26,11,0,2,31,6,19.6,3.8,.258,.371,.285,.656,.283,
Freeman, Mike,502273,2021,34,59,65,11,11,0,0,0,20,5,30.8,7.7,.186,.186,.262,.448,.206,
Dyson, Jarrod,502481,2021,37,135,149,28,19,7,2,0,33,10,22.1,6.7,.207,.289,.255,.544,.243,
Goldschmidt, Paul,502671,2021,34,603,679,177,108,36,2,31,136,67,20.0,9.9,.294,.514,.365,.879,.373,
Gonzalez, Marwin,503556,2021,32,276,307,55,36,14,0,5,78,20,25.4,6.5,.199,.304,.274,.578,.259,
Darvish, Yu,506433,2021,35,53,55,5,3,2,0,0,25,0,45.5,0.0,.094,.132,.109,.241,.108,
Leon, Sandy,506702,2021,32,202,220,37,28,5,0,4,65,12,29.5,5.5,.183,.267,.236,.504,.225,
Altuve, Jose,514888,2021,31,601,678,167,103,32,1,31,91,66,13.4,9.7,.278,.489,.350,.839,.357,
Hernandez, Cesar,514917,2021,31,570,637,132,88,21,2,21,135,59,21.2,9.3,.232,.386,.308,.694,.302,
Segura, Jean,516416,2021,31,514,567,149,105,27,3,14,78,39,13.8,6.9,.290,.436,.347,.783,.338,
Castro, Starlin,516770,2021,31,315,346,89,66,20,0,3,62,26,17.9,7.5,.283,.375,.332,.707,.309,
